Title;Company;Location;Salary;Seniority
Produkto vadovas (-ė);Emplonet, UAB;Vilnius;€ 3800 – 4000;Unspecified
Vyr. IS administratorius (-ė);Emplonet, UAB;Vilnius;€ 3300 – 4500;Unspecified
IT projektų specialistas(-ė);Labdata, UAB;Vilnius / Remote;€ 2400 – 3600;Unspecified
Software Engineer - Ruby on Rails;Nasdaq Vilnius Services, UAB;Vilnius;€ 3400 – 4500;Unspecified
Turto valdymo ir viešųjų pirkimų skyriaus vyriausiasis specialistas (-ė) (IT);Valstybės vaiko teisių apsaugos ir įvaikinimo tarnyba prie socialinės apsaugos ir darbo ministerijos;Vilnius;€ 2678;Unspecified
Senior IT Support Specialist;Volfas Engelman, AB;Kaunas;€ 3000;Senior
Veiklos analitikas (-ė) (E-varžytynių ir aukcionų portalas);Registrų centras, VĮ;Vilnius;€ 2175 – 3263;Unspecified
Produkto vadovas (-ė) (E. sveikata);Registrų centras, VĮ;Vilnius;€ 2628 – 3942;Unspecified
Back-end Developer (PHP, Laravel);abz.agency®;Vilnius;€ 8.5 – 11.5/h;Unspecified
QA engineer;abz.agency®;Vilnius;€ 4 – 6/h;Unspecified
Solution Architect for AI platforms/IT Expert | SEB, Vilnius;SEB;Vilnius;€ 3650 – 5450;Unspecified
IT Project Manager (Omnichannel);Baltic Amadeus, UAB;Vilnius / Remote;€ 3000 – 5000;Unspecified
Marketing Analytics Engineer @Bioma;Kilo Health - UAB Kilo grupė;Vilnius;€ 3800 – 5100;Unspecified
Technical Support Specialist (German);QDev Technologies, UAB;Vilnius / Remote;€ 2200 – 2700;Unspecified
Backend Engineer, Devex Platform;Wix.com, UAB;Vilnius;€ 2500 – 4000;Unspecified
DevOps Engineer;Wix.com, UAB;Vilnius;€ 4500 – 6000;Unspecified
Experienced Backend Engineer - Wix Blog;Wix.com, UAB;Vilnius;€ 3500 – 5000;Unspecified
Komercijos vadybininkas (-ė);Iremas, UAB;Jonava;€ 1700 – 3000;Unspecified
Senior Backend Engineer – CTO Group;Wix.com, UAB;Vilnius;€ 5000 – 8000;Senior
