Title,Company,Location,Salary,min_salary,max_salary,avg_salary,salary_range,job_category,seniority,salary_range_pct
Chief Business Analyst for Welcoming and Orchestration,Chief Business Analyst for Welcoming and Orchestration,Vilnius,€ 4320 – 6480,4320.0,6480.0,5400.0,2160.0,Business Analyst,Senior,50.0
"Back-end Developer (PHP, Laravel)","Back-end Developer (PHP, Laravel)",Vilnius,€ 8.5 – 11.5/h,1360.0,1840.0,1600.0,3.0,Software Developer,Not Specified,0.22058823529411764
QA engineer,QA engineer,Vilnius,€ 4 – 6/h,640.0,960.0,800.0,2.0,QA Engineer,Not Specified,0.3125
"Solution Architect for AI platforms/IT Expert | SEB, Vilnius","Solution Architect for AI platforms/IT Expert | SEB, Vilnius",Vilnius,€ 3650 – 5450,3650.0,5450.0,4550.0,1800.0,Other,Not Specified,49.31506849315068
IT Project Manager (Omnichannel),IT Project Manager (Omnichannel),Vilnius / Remote,€ 3000 – 5000,3000.0,5000.0,4000.0,2000.0,Project Manager,Not Specified,66.66666666666666
Marketing Analytics Engineer @Bioma,Marketing Analytics Engineer @Bioma,Vilnius,€ 3800 – 5100,3800.0,5100.0,4450.0,1300.0,Data Analyst,Not Specified,34.21052631578947
Technical Support Specialist (German),Technical Support Specialist (German),Vilnius / Remote,€ 2200 – 2700,2200.0,2700.0,2450.0,500.0,IT Support,Not Specified,22.727272727272727
"Backend Engineer, Devex Platform","Backend Engineer, Devex Platform",Vilnius,€ 2500 – 4000,2500.0,4000.0,3250.0,1500.0,Software Developer,Not Specified,60.0
DevOps Engineer,DevOps Engineer,Vilnius,€ 4500 – 6000,4500.0,6000.0,5250.0,1500.0,DevOps,Not Specified,33.33333333333333
Experienced Backend Engineer - Wix Blog,Experienced Backend Engineer - Wix Blog,Vilnius,€ 3500 – 5000,3500.0,5000.0,4250.0,1500.0,Software Developer,Not Specified,42.857142857142854
Komercijos vadybininkas (-ė),Komercijos vadybininkas (-ė),Jonava,€ 1700 – 3000,1700.0,3000.0,2350.0,1300.0,Other,Not Specified,76.47058823529412
Senior Backend Engineer – CTO Group,Senior Backend Engineer – CTO Group,Vilnius,€ 5000 – 8000,5000.0,8000.0,6500.0,3000.0,Software Developer,Senior,60.0
Techninės kontrolės inžinierius (-ė),Techninės kontrolės inžinierius (-ė),Jonava,€ 1600 – 3000,1600.0,3000.0,2300.0,1400.0,Other,Not Specified,87.5
IT administratorius (-ė),IT administratorius (-ė),Vilnius,€ 2200 – 2700,2200.0,2700.0,2450.0,500.0,IT Support,Not Specified,22.727272727272727
"Applied AI: Senior Software Engineer, AI Engineering","Applied AI: Senior Software Engineer, AI Engineering",Vilnius,€ 4100 – 4500,4100.0,4500.0,4300.0,400.0,Data Scientist,Senior,9.75609756097561
Senior DevOps Engineer,Senior DevOps Engineer,Vilnius,€ 5000 – 6200,5000.0,6200.0,5600.0,1200.0,DevOps,Senior,24.0
GEN AI Platform: Software Developer Specialist,GEN AI Platform: Software Developer Specialist,Vilnius,€ 4100 – 4500,4100.0,4500.0,4300.0,400.0,Software Developer,Not Specified,9.75609756097561
Tarptautinių projektų vadybininkas (-ė),Tarptautinių projektų vadybininkas (-ė),Klaipėda,€ 2000 – 2500,2000.0,2500.0,2250.0,500.0,Other,Not Specified,25.0
Junior Data Engineer in Finance Tribe,Junior Data Engineer in Finance Tribe,Vilnius,€ 2720 – 4080,2720.0,4080.0,3400.0,1360.0,Data Engineer,Junior,50.0
"Senior Software Developer in Payments team | SEB, Vilnius","Senior Software Developer in Payments team | SEB, Vilnius",Vilnius,€ 3650 – 5450,3650.0,5450.0,4550.0,1800.0,Software Developer,Senior,49.31506849315068
"Full stack developer seeking new digital challenges | SEB, Vilnius","Full stack developer seeking new digital challenges | SEB, Vilnius",Vilnius,€ 2850 – 4250,2850.0,4250.0,3550.0,1400.0,Software Developer,Not Specified,49.122807017543856
Application Management Support Specialist,Application Management Support Specialist,Vilnius,€ 2600 – 3500,2600.0,3500.0,3050.0,900.0,IT Support,Not Specified,34.61538461538461
Mid/Senior QA Engineer for Progress OpenEdge Unit,Mid/Senior QA Engineer for Progress OpenEdge Unit,Vilnius / Remote,€ 2500 – 3800,2500.0,3800.0,3150.0,1300.0,QA Engineer,Senior,52.0
Išmaniųjų laikrodžių ir elektronikos aksesuarų grupės vadovas,Išmaniųjų laikrodžių ir elektronikos aksesuarų grupės vadovas,Vilnius / Remote,€ 3200 – 3800,3200.0,3800.0,3500.0,600.0,Other,Not Specified,18.75
