Title;Company;Location;Salary;Seniority;Published;Expires;Skills;Job URL
HSE Manager;SIA Aerones Engineering;Latvia;€ 3500 – 4000;N/A;Renewed about 19 hours ago;2025.06.06;Manage HSE training programs for all staff to ensure understanding and adherence to safety protocols., Proven experience as an HSE Manager or similar role (minimum 5 years)., Strong knowledge of HSE regulations and industry standards, with the ability to interpret and apply them effectively., Excellent leadership and management skills, with a focus on coaching and developing teams., Outstanding communication and presentation skills, with the ability to influence stakeholders at all levels., Strong analytical and problem-solving skills, with attention to detail., Friendly and knowledgeable colleagues, as well as team events;https://www.cvonline.lt/en/vacancy/1367479/sia-aerones-engineering/hse-manager
.NET Software Engineer in Wealth Planning and Investments Tribe;Danske Bank Lithuania;Vilnius;€ 3520 – 5280;N/A;Renewed about 21 hours ago;2025.06.06;"2+ years of experience in developing applications using .NET, Experience with MS SQL or similar relational databases, Knowledge of software design patterns, Experience with both consuming and designing RESTful APIs, Experience working agilely in close collaboration with business and designers, Upper-Intermediate English communication skills, both written and spoken, Hybrid working conditions: Work from home up to two days a week; home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.";https://www.cvonline.lt/en/vacancy/1347272/danske-bank-lithuania/net-software-engineer-in-wealth-planning-and-investments-tribe
IT Engineer for MS 365 Productivity | SEB, Vilnius;SEB;Vilnius;€ 2550 – 3850;N/A;3 days ago;2025.06.11;N/A;https://www.cvonline.lt/en/vacancy/1368956/seb/it-engineer-for-ms-365-productivity-or-seb-vilnius
Quality Assurance Engineer;Luminor Bank, AB;Vilnius;€ 4010 – 6550;N/A;3 days ago;2025.05.23;Solid understanding of software development lifecycle (SDLC) and testing lifecycle (STLC), Knowledge of QA tools and processes, including defect tracking tools like JIRA, Experience with test automation tools such as Selenium, TestNG, or Postman, Knowledge of API testing, Knowledge of CI/CD pipelines and related tools like Jenkins, Gross salary. 4,010-6,550 EUR/month, which is to be determined depending on your level of experience and competencies;https://www.cvonline.lt/en/vacancy/1368934/luminor-bank-ab/quality-assurance-engineer
Senior .NET Full-Stack developer;Accenture;Vilnius / Remote;€ 2500 – 4600;Senior;3 days ago;2025.06.08;N/A;https://www.cvonline.lt/en/vacancy/1368817/accenture/senior-net-full-stack-developer
Pogrupio vadovas (-ė);Light Conversion, UAB;Vilnius;€ 3100 – 4000;N/A;Renewed 3 days ago;2025.06.01;N/A;https://www.cvonline.lt/en/vacancy/1365029/light-conversion-uab/pogrupio-vadovas
IT pagalbos specialistas (-ė);Lidl Lietuva, UAB;Vilnius;€ 2235 – 2590;N/A;3 days ago;2025.06.08;N/A;https://www.cvonline.lt/en/vacancy/1368600/lidl-lietuva-uab/it-pagalbos-specialistas
Senior Systems Engineer - Network Support;Moody's;Vilnius;€ 4200 – 6700;Senior;3 days ago;2025.06.08;5+ years experience in global network operations team, Solid knowledge and experience in BGP peering, routing/switching, MPLS, ISIS, and OSPF, Understanding core Networking concepts, Network security: Understanding of network security principles and practices, including access control and information transfer policies, Experience investigating complex issues and performing corrective actions, proven track record in leading major incident recovery., Highly impactful problem-solving skills and attention to detail., Experience working with ITSM systems such as ServiceNow., Exceptional written and verbal communication skills., Proven hands-on network engineering experience, Deep understanding of networking protocols (e.g., IPSEC, HSRP, BGP, OSPF, 802.11, QoS), Solid understanding of the OSI or TCP/IP model, Hands-on experience with monitoring, network diagnostic and network analytics tools;https://www.cvonline.lt/en/vacancy/1368568/moody-s/senior-systems-engineer-network-support
Off-Page SEO Lead;UAB GG Group Media;Vilnius / Remote;€ 3000;Senior;3 days ago;2025.06.07;1-3 years of SEO experience, Strong knowledge of off-page SEO and its connection to content performance., Understanding of basic black-hat SEO techniques (e.g., PBNs, 301 redirects, link tier building)., Experience with SEO tools such as Ahrefs, SEMrush, Moz Link Explorer, Google Search Console, and others., Strong organizational skills, with the ability to prioritize tasks and manage multiple client projects effectively.;https://www.cvonline.lt/en/vacancy/1368058/uab-gg-group-media/off-page-seo-lead
SEO Specialist;UAB GG Group Media;Vilnius / Remote;€ 2400;N/A;3 days ago;2025.06.07;Willingness to learn and develop skills for managing multiple projects simultaneously, while effectively prioritizing tasks to meet deadlines., 1 - 3 years SEO experience., Good knowledge of on-page SEO and how it connects with content performance., Understanding basic technical SEO (sitemaps, redirects, Core Web Vitals, etc.)., Experience using tools like Ahrefs, Screaming Frog, Google Search Console, and others., Experience with multilingual SEO or local SEO strategies.;https://www.cvonline.lt/en/vacancy/1368080/uab-gg-group-media/seo-specialist
Unit Manager for the Omnichannel Unit;Baltic Amadeus, UAB;Vilnius;€ 6000 – 9000;N/A;3 days ago;2025.06.08;N/A;https://www.cvonline.lt/en/vacancy/1368456/baltic-amadeus-uab/unit-manager-for-the-omnichannel-unit
Java programuotojas (-a);Regitra, AB;Vilnius;€ 2500 – 3300;N/A;Renewed 3 days ago;2025.05.29;N/A;https://www.cvonline.lt/en/vacancy/1363383/regitra-ab/java-programuotojas-a
