Title;Company;Location;Salary;Seniority;Published;Expires;Skills;Job URL
ŽMONIŲ DUOMENŲ ANALITIKĖ (-AS) (TERMINUOTA DARBO SUTARTIS);Ignitis Group;Vilnius;€ 2666 – 3999;N/A;14 days ago;2025.05.12;N/A;https://www.cvonline.lt/en/vacancy/1362667/ignitis-group/zmoni-duomen-analitik-as-terminuota-darbo-sutartis
Senior Software Engineer (Gen AI);Moody's;Vilnius;€ 5200 – 8300;Senior;14 days ago;2025.05.28;10+ years of development experience in Python, JavaScript, HTML and CSS, with a focus on full-stack web development., Extensive experience in both back-end and front-end development, Generative AI experience preferred, Strong leadership and communication skills to lead and collaborate on projects that drive innovation and deliver business value through AI-powered solutions., Experience in Python, JavaScript, HTML and CSS, with a focus on full-stack web development., Experience in building and deploying RAG-based Generative AI solutions, such as, Chatbots and Enterprise knowledge assistants, using Azure AI Search, ML Studio, Copilot Studio, LangChain, OpenAI API, or custom LLMs. Familiarity with ML, Experience with MLOps workflows and pipeline automation., Strong experience with web frameworks such as Django, FastAPI or Flask., Experience in front-end development using modern frameworks such as React or Angular., Experience with SQL (e.g., PostgreSQL, MySQL) and NoSQL (e.g., DynamoDB, Cosmos DB) database management systems., Experience in designing architectures of cloud-based solutions on AWS, Azure and GCP., Experience with testing frameworks such as unittest, Pytest, Cypress and Jest., Strong experience with app development and deployment using MS Teams., Experience in version control systems such as git, and DevOps pipelines., Experience in managing Docker containers and containerized environments., Experience with Unix-like operating systems., Strong understanding of secure coding practices, authentication, authorization, and encryption., Strong problem-solving skills and attention to detail., Excellent communication and team management skills.;https://www.cvonline.lt/en/vacancy/1362616/moody-s/senior-software-engineer-gen-ai
Data Analyst;Kilo Health - UAB Kilo grupė;Vilnius;€ 3000 – 4000;N/A;14 days ago;2025.05.28;Have at least 2 years of proven SQL skills: ability to join and manipulate data of various types (String, Integer, JSON, Array), write parameterized scripts, debug SQL code, Have strong communication skills: timely, clear, and consistent sharing of information, work progress, bottlenecks and findings, As a startup accelerator, we have 30+ different brands and are continuously expanding, giving you the flexibility to shape your career as you see fit. Whether you want to learn new skills, take on leadership roles, or specialize in a specific area, the choice is yours. You can even explore launching your own startup. We thrive on highly driven people., Get creative with your learning and development budget. Elevate your skills and professional background with coaching and private learning sessions, conferences, courses, events, or whatever sparks your interest.;https://www.cvonline.lt/en/vacancy/1362605/kilo-health-uab-kilo-grup/data-analyst
Duomenų analitikas (-ė);Valstybinė mokesčių inspekcija prie Lietuvos Respublikos finansų ministerijos;Vilnius / Remote;€ 2200 – 2800;N/A;14 days ago;2025.05.19;N/A;https://www.cvonline.lt/en/vacancy/1362556/valstybin-mokesci-inspekcija-prie-lietuvos-respublikos-finans-ministerijos/duomen-analitikas
Veiklos/duomenų analitikas (-ė);Valstybinė mokesčių inspekcija prie Lietuvos Respublikos finansų ministerijos;Vilnius / Remote;€ 2200 – 2800;N/A;14 days ago;2025.05.19;N/A;https://www.cvonline.lt/en/vacancy/1362551/valstybin-mokesci-inspekcija-prie-lietuvos-respublikos-finans-ministerijos/veiklos-duomen-analitikas
Veiklos/duomenų analitikas (-ė);Valstybinė mokesčių inspekcija prie Lietuvos Respublikos finansų ministerijos;Vilnius / Remote;€ 2200 – 2800;N/A;14 days ago;2025.05.19;N/A;https://www.cvonline.lt/en/vacancy/1362509/valstybin-mokesci-inspekcija-prie-lietuvos-respublikos-finans-ministerijos/veiklos-duomen-analitikas
Full-Stack Java Developer;Indigroup;Vilnius / Remote;€ 3500 – 5900;N/A;14 days ago;2025.05.28;N/A;https://www.cvonline.lt/en/vacancy/1362540/indigroup/full-stack-java-developer
Senior PHP Developer;Indigroup;Vilnius;€ 5000 – 6000;Senior;14 days ago;2025.05.28;N/A;https://www.cvonline.lt/en/vacancy/1362534/indigroup/senior-php-developer
IT sistemų analitikas (-ė);City Service, UAB;Vilnius;€ 1800 – 3300;N/A;14 days ago;2025.05.28;N/A;https://www.cvonline.lt/en/vacancy/1362470/city-service-uab/it-sistem-analitikas
DI sprendimų architektas (-ė);City Service, UAB;Vilnius / Remote;€ 5000 – 7500;N/A;14 days ago;2025.05.28;N/A;https://www.cvonline.lt/en/vacancy/1362468/city-service-uab/di-sprendim-architektas
DI inžinierius (-ė) – prisijunk prie mūsų komandos ir kurk inovacijas!;Mano būstas, UAB;Vilnius;€ 4000 – 5500;N/A;14 days ago;2025.05.28;N/A;https://www.cvonline.lt/en/vacancy/1362465/mano-bustas-uab/di-inzinierius-prisijunk-prie-mus-komandos-ir-kurk-inovacijas
Product Security Specialist;Quadigi, UAB;Vilnius / Remote;€ 3800 – 5600;N/A;14 days ago;2025.05.28;Knowledge of common methods and techniques in theory, e.g. threat analysis according to STRIDE and the assessment of security gaps using CVSS, Experience with threat modeling, security risk evaluations, and vulnerability assessments for new and existing products and systems. Prior experience facilitating the identification and prioritization of security risks., Experience overseeing security related activities, such as penetration testing and vulnerability scanning. As well as, analyzing results to identify security gaps and provide actionable recommendations to ensure compliance with security requirements., Experience with international standards such as NIST, FDA Cybersecurity Guidance, IEC 81001-5-1, 60601-4-5 and ISO 27001 would be considered a big plus. Experience in creating, updating and posting Manufacturer Disclosure Statements for Medical Device Security (MD32) and other required customer-facing documents as required in company cybersecurity processes would be a plus., Possesses fluent English skills., Online and offline training/workshops and other knowledge sharing possibilities;https://www.cvonline.lt/en/vacancy/1362433/quadigi-uab/product-security-specialist
Full-Stack Developer Internship;Present Connection, UAB;Kaunas / Remote;€ 1;Junior;15 days ago;2025.05.27;"Basic programming skills;, Good English skills verbal and written., Anny technical skills would be appreciated., Gain knowledge in a company with more than ten years of experience in IT sector working with high performing development teams.";https://www.cvonline.lt/en/vacancy/1362381/present-connection-uab/full-stack-developer-internship
Workflow Solution Developer in Digital Processing | SEB, Vilnius;SEB;Vilnius;€ 2850 – 4250;N/A;17 days ago;2025.06.11;N/A;https://www.cvonline.lt/en/vacancy/1362245/seb/workflow-solution-developer-in-digital-processing-or-seb-vilnius
QA Engineer;NRD Companies;Vilnius / Remote;€ 2200 – 3700;N/A;17 days ago;2025.05.25;"Proven 2+ work experience as a QA Engineer;, Understanding of software development and test process;, Analytical mind and problem-solving skills;, Good teamwork skills and attention to details";https://www.cvonline.lt/en/vacancy/1362211/nrd-companies/qa-engineer
.NET programuotojas;NRD Companies;Vilnius / Remote;€ 4000 – 5400;N/A;17 days ago;2025.05.25;"5+ years of experience in developing .NET applications;, Experience with Microsoft technologies: .NET, .NET Core, ASP.NET MVC, ASP.NET Web API, WCF, LINQ, Entity Framework, SQL Server database;, Experience in Front-end development (e.g. HTML5, CSS, JavaScript);, Strong understanding of object oriented development and design patterns;, Strong hands-on experience on optimizing code to achieve high performance;, Excellent problem solving, critical thinking skills, and communication skills;, Additional days learn and improve your personal skills., Opportunities to build valuable skills, work with unique and interesting projects for the Fintech industry, express and implement your ideas and grow your career!";https://www.cvonline.lt/en/vacancy/1362210/nrd-companies/net-programuotojas
IT specialistas (-ė);Allianz Lietuva gyvybės draudimas UAB;Vilnius;€ 1700 – 2400;N/A;17 days ago;2025.05.25;N/A;https://www.cvonline.lt/en/vacancy/1362083/allianz-lietuva-gyvyb-s-draudimas-uab/it-specialistas
Senior Front-End Engineer;Kilo Health - UAB Kilo grupė;Vilnius;€ 5520 – 6000;Senior;17 days ago;2025.05.25;Champion a culture of knowledge-sharing, best practices, and high performance, Bring strong experience with React, Next.js, TypeScript, and modern state management, Bonus: Experience with CMS, e-commerce tools, or Playwright for automated testing, As a startup accelerator, we have 30+ different brands and are continuously expanding, giving you the flexibility to shape your career as you see fit. Whether you want to learn new skills, take on leadership roles, or specialize in a specific area, the choice is yours. You can even explore launching your own startup. We thrive on highly driven people., Get creative with your learning and development budget. Elevate your skills and professional background with coaching and private learning sessions, conferences, courses, events, or whatever sparks your interest.;https://www.cvonline.lt/en/vacancy/1362082/kilo-health-uab-kilo-grup/senior-front-end-engineer
Front-End Engineer;Kilo Health - UAB Kilo grupė;Vilnius;€ 3120 – 4030;N/A;17 days ago;2025.05.25;Have solid experience with TypeScript, React, Next.js, and Redux/Zustand, Bring a problem-solving mindset and focus on delivering great user experiences, Bonus: Experience with CMS, site builders, or Playwright automation testing, As a startup accelerator, we have 30+ different brands and are continuously expanding, giving you the flexibility to shape your career as you see fit. Whether you want to learn new skills, take on leadership roles, or specialize in a specific area, the choice is yours. You can even explore launching your own startup. We thrive on highly driven people., Get creative with your learning and development budget. Elevate your skills and professional background with coaching and private learning sessions, conferences, courses, events, or whatever sparks your interest.;https://www.cvonline.lt/en/vacancy/1361939/kilo-health-uab-kilo-grup/front-end-engineer
PHP programuotoja (-as);Blue Bridge grupė;Vilnius / Remote;€ 3000 – 4800;N/A;17 days ago;2025.05.25;N/A;https://www.cvonline.lt/en/vacancy/1361906/blue-bridge-grup/php-programuotoja-as
Junior Android Developer in the Omnichannel Unit;Baltic Amadeus, UAB;Kaunas;€ 1100 – 2900;Junior;17 days ago;2025.05.25;N/A;https://www.cvonline.lt/en/vacancy/1361740/baltic-amadeus-uab/junior-android-developer-in-the-omnichannel-unit
Cyber Security Consultant;EY;Vilnius;€ 2000 – 2700;N/A;17 days ago;2025.05.25;N/A;https://www.cvonline.lt/en/vacancy/1361696/ey/cyber-security-consultant
Full Stack Engineer;People Link, UAB;Vilnius;€ 4400 – 4900;N/A;17 days ago;2025.05.25;N/A;https://www.cvonline.lt/en/vacancy/1361672/people-link-uab/full-stack-engineer
IT skaitmenizacijos vadovas (-ė);Newsec Property Management LT, UAB;Vilnius;€ 4960 – 5785;N/A;17 days ago;2025.05.25;N/A;https://www.cvonline.lt/en/vacancy/1361508/newsec-property-management-lt-uab/it-skaitmenizacijos-vadovas
Java developer ready to develop the digital services of tomorrow | SEB, Vilnius;SEB;Vilnius;€ 3650 – 5450;N/A;18 days ago;2025.06.11;N/A;https://www.cvonline.lt/en/vacancy/1361474/seb/java-developer-ready-to-develop-the-digital-services-of-tomorrow-or-seb-vilnius
Senior Service (Systems) Owner;QDev Technologies, UAB;Vilnius / Remote;€ 3500 – 4500;Senior;18 days ago;2025.05.24;Share your expertise to guide and develop less experienced service owners., At least 3 years of experience as a service/product owner, IT project manager, or similar., Strong experience in service transition for IT digital services in a global context., Proven understanding of ITSM frameworks (ITIL, COBIT5, ISO standards)., Strong project management, communication, and flexibility skills., Demonstrated analytical skills and a structured, solution-oriented work style., Experience in the collection and reporting of financial data., Very good communication and English skills written and spoken, Online and offline training/workshops and other knowledge-sharing possibilities.;https://www.cvonline.lt/en/vacancy/1361428/qdev-technologies-uab/senior-service-systems-owner
AI Backend Engineer;CV-Online klientas;Kaunas;€ 3200 – 4200;N/A;18 days ago;2025.05.24;"Strong understanding of database architecture and management., Experience with CI/CD pipelines and version control using Git., Knowledge of containerization using Docker and Kubernetes., Expertise in architecting and developing backend systems using Python; extensive experience in FastAPI, Django, or Flask., Knowledge of databases systems, data model design and experience with both SQL and NoSQL databases., Experience with AI and machine learning technologies, Minimum 3 years of hands-on experience as a Backend Engineer or in a similar role. Excellent communication and documentation skills., Experience with AI and machine learning technologies., Knowledge of data visualization libraries and tools.";https://www.cvonline.lt/en/vacancy/1361380/cv-online-klientas/ai-backend-engineer
AI Front-End Engineer;CV-Online klientas;Kaunas;€ 3000 – 4000;N/A;18 days ago;2025.05.24;Strong software engineering skills, including system design, development, testing, debugging, release, and maintenance., Minimum 3 years of hands-on experience as a Frontend Engineer or in a similar role, with a track record of building responsive and visually appealing web applications., Experience with Selenium/WebDriver test suite for automated browser tests., Knowledge of CI/CD pipelines and testing methodologies, with experience using Git for version control., Excellent communication and documentation skills., Experience with AI and machine learning technologies., Knowledge of data visualization libraries and tools.;https://www.cvonline.lt/en/vacancy/1361373/cv-online-klientas/ai-front-end-engineer
Chief Technology Officer (CTO);Eleving Group;Vilnius;€ 6000 – 10000;N/A;18 days ago;2025.05.24;N/A;https://www.cvonline.lt/en/vacancy/1361376/eleving-group/chief-technology-officer-cto
IT Systems Administrator;Avion Express;Vilnius;€ 3500 – 4100;N/A;18 days ago;2025.06.23;"Proven experience designing and administering a secure, highly-available Azure AD tenant;, PowerShell and Microsoft Graph scripting skills strong enough to automate reporting tasks;, Windows Server 2016-2022 administration (AD DS, DNS, DHCP, Group Policy), solid understanding of core networking (TCP/IP, routing, VLANs, VPN);, Working knowledge of zero-trust principles, least-privilege access. CIS or NIST hardening benchmarks would be benefit;, Competitive salary (starting from 3500 to 4100 € gross, depending on your experience) and social benefits, including health insurance;";https://www.cvonline.lt/en/vacancy/1361253/avion-express/it-systems-administrator
Tinklo inžinierius (-ė);Kauno technologijos universitetas;Kaunas;€ 2600 – 2925;N/A;18 days ago;2025.05.24;N/A;https://www.cvonline.lt/en/vacancy/1361152/kauno-technologijos-universitetas/tinklo-inzinierius
Business Analyst - Problem Management;Moody's;Vilnius;€ 3500 – 5600;N/A;18 days ago;2025.05.24;"Knowledge and broad understanding of infrastructure technologies (Intel/Unix, Servers, Middleware, Email, Messaging Services, Networking). Experience in managing and supporting incidents with multiple support staff engaged., Excellent verbal and written communication skills in English with the ability to communicate with associates within all levels of the organization. Ability to remain calm and confident in a rapidly changing environment and set priorities accordingly., Negotiation skills for de-conflicting issues, priorities with different support groups, and overcoming obstacles. Proactive self-starter who can use and work on initiative and good time management skills. Ability to multitask effectively under pressure., Bachelor's degree in computer science or a related discipline, or equivalent work experience required; advanced degree is beneficial,, 7-10 years of diverse experience in multiple areas of information technology required; experience in the securities or financial services industry is a plus.";https://www.cvonline.lt/en/vacancy/1360955/moody-s/business-analyst-problem-management
Business and Functional Specialist in Advisory Overview Squad;Danske Bank Lithuania;Vilnius;€ 2880 – 4320;N/A;19 days ago;2025.05.12;"Collaborate closely with the Product Owner, business stakeholders, systems, and data owners to align activities with objectives that enhance user experiences, Become an experienced user/admin and take a leading support role already with the first roll-out of our new Personal Customer CRM solution, 3-5 years experience in roles such as Business Analyst, Business Functional Specialist, particularly with a focus on process and project management and collaborative projects, Some experience with CRM solutions (SaaS such as MS Dynamics or Salesforce) is preferred, Experience as CRM Analyst and knowledge on business process mapping, e.g., in connection with leads and opportunities (or other types of sales processes), is desired, Knowledge of security, compliance, risk management, and general financial services is beneficial, Excellent communication and stakeholder management skills, upper-intermediate skills in English, Strong collaboration and facilitation skills, Hybrid working conditions: Work from home up to two days a week; home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.";https://www.cvonline.lt/en/vacancy/1360669/danske-bank-lithuania/business-and-functional-specialist-in-advisory-overview-squad
PERFORMANCE DATA ANALYST (F/M/D) | IGNITIS RENEWABLES;Ignitis Group;Vilnius;€ 2401 – 3602;N/A;19 days ago;2025.05.23;Good understanding of statistical methods and ability to apply them to large datasets, At least basic understanding of renewable energy systems, Additional paid days for health improvement, short-term illness, volunteering, and accumulated work experience;https://www.cvonline.lt/en/vacancy/1360617/ignitis-group/performance-data-analyst-f-m-d-or-ignitis-renewables
Dirbtinio intelekto diegimo vadovas (-ė);People Link, UAB;Vilnius;€ 5500 – 7400;N/A;19 days ago;2025.05.23;N/A;https://www.cvonline.lt/en/vacancy/1360596/people-link-uab/dirbtinio-intelekto-diegimo-vadovas
Control Software Developer;Emplonet, UAB;Kaunas;€ 2500 – 5500;N/A;19 days ago;2025.05.23;N/A;https://www.cvonline.lt/en/vacancy/1360523/emplonet-uab/control-software-developer
Experienced Frontend Engineer - Wix Forms;Wix.com, UAB;Vilnius;€ 3000 – 8000;N/A;19 days ago;2025.05.23;Gain experience working with top level developers and continue the learning process through Guild activities and advanced learning sessions., You have at least 3 years of experience in frontend development., You have good communication and organizational skills.;https://www.cvonline.lt/en/vacancy/1360480/wix-com-uab/experienced-frontend-engineer-wix-forms
Dirbtinio Intelekto Inžinierius (-ė);People Link, UAB;Vilnius;€ 4000 – 5500;N/A;19 days ago;2025.05.23;N/A;https://www.cvonline.lt/en/vacancy/1360482/people-link-uab/dirbtinio-intelekto-inzinierius
HR|Payroll sprendimų diegėjas (-as) - konsultantas (-ė);OIXIO, UAB;Vilnius / Remote;€ 3000 – 3700;N/A;19 days ago;2025.05.23;N/A;https://www.cvonline.lt/en/vacancy/1360459/oixio-uab/hr-or-payroll-sprendim-dieg-jas-as-konsultantas
Senior Backend Engineer, Devex Platform;Wix.com, UAB;Vilnius;€ 5000 – 8000;Senior;19 days ago;2025.05.23;Plan, design, build, and maintain our systems while working closely with Wix developers to improve their day-to-day experience and eliminate velocity killers, Build and maintain highly scalable backend services providing unique CI/CD experiences to support Wixs code, 5+ years of experience in server-side technologies with in-depth understanding of SOLID principles, Good knowledge and interest in microservice architecture;https://www.cvonline.lt/en/vacancy/1360451/wix-com-uab/senior-backend-engineer-devex-platform
Brand and Web Designer - Design Hub Vilnius;Wix.com, UAB;Vilnius;€ 3000 – 5500;N/A;19 days ago;2025.05.23;Collaborate with stakeholders in the company, working on Wixs global employer brand and employee experience, 3+ years experience in branding and/or online design, You have a great portfolio that shows working experience in digital design and building brand identity systems, You have a deep knowledge of Adobes suite and Figma (Photoshop, Motion, and After Effects skills - an advantage), Experience working with Wix Editor - also an advantage;https://www.cvonline.lt/en/vacancy/1360446/wix-com-uab/brand-and-web-designer-design-hub-vilnius
Frontend Engineer - Wix Emails;Wix.com, UAB;Vilnius;€ 5000 – 8000;N/A;19 days ago;2025.05.23;4 years of experience in front end technologies and frameworks, At least a year of proven experience in leading a team of developers, You have excellent communication skills, an inherent willingness to help others and the ability to deep dive into complex applications;https://www.cvonline.lt/en/vacancy/1360443/wix-com-uab/frontend-engineer-wix-emails
Network Engineer;Wix.com, UAB;Vilnius;€ 5500 – 8000;N/A;19 days ago;2025.05.23;Design and implement the next generation of tools to be used and networking changes to be implemented to assure stability, increase velocity, and enhance users experience by optimizing the networking stack, 4+ years of experience working with live production systems, You have strong networking knowledge in TCP/IP, DNS and load-balancers as well as practical experience working with networking equipment like Cisco, Juniper, F5 and Fortigate, You have strong fundamentals in Linux and an understanding of containerization and orchestration tools like Docker and Kubernetes, You have knowledge of provisioning and configuration management systems (e.g., Terraform, Ansible, Chef, etc.), You have practical knowledge and experience operating private and public clouds as well as hyperconverged infrastructure, Youve experience with monitoring tools (Prometheus, Grafana);https://www.cvonline.lt/en/vacancy/1360441/wix-com-uab/network-engineer
ERP Analyst/Consultant;Honestus, UAB;Vilnius / Remote;€ 4300;N/A;19 days ago;2025.05.14;3+ years of experience as an ERP Analyst/Consultant (experience with Odoo will be considered a significant advantage)., Excellent analytical and problem-solving skills with attention to detail., Experience in IT project management., Strong communication and client-facing skills., Competitive salary starting from €4,300 gross (before taxes) final offer will depend on your qualifications and experience., Collaborate with a team of highly experienced professionals.;https://www.cvonline.lt/en/vacancy/1360377/honestus-uab/erp-analyst-consultant
Priežiūros specialistas (-ė);ADB „Gjensidige“;Vilnius;€ 1781 – 2671;N/A;19 days ago;2025.05.16;N/A;https://www.cvonline.lt/en/vacancy/1360201/adb-gjensidige/prieziuros-specialistas
TEAM LEAD OF IT SYSTEMS ANALYSIS;Ignitis Group;Vilnius;€ 3594 – 5390;Senior;20 days ago;2025.05.31;You demonstrate strategic thinking and the ability to organize activities, along with leadership skills, You have experience leading a team and organizing its activities, You have at least three years of experience in systems analysis, You are proficient in UML and BPMN, with practical usage skills, knowledge of PL/SQL, database design, You have experience in Analysis of integration system interfaces, With your knowledge and experience, you will contribute to the development of long-term, state-critical energy projects;https://www.cvonline.lt/en/vacancy/1359900/ignitis-group/team-lead-of-it-systems-analysis
PROGRAMUOTOJAS (-A) (PASTATŲ VALDYMAS);UAB „Energus Group“;Vilnius;€ 2455 – 3801;N/A;20 days ago;2025.05.22;N/A;https://www.cvonline.lt/en/vacancy/1359860/uab-energus-group/programuotojas-a-pastat-valdymas
IS plėtros skyriaus vadovas (-ė);Emplonet, UAB;Vilnius;€ 3602 – 5900;N/A;20 days ago;2025.05.22;N/A;https://www.cvonline.lt/en/vacancy/1359819/emplonet-uab/is-pl-tros-skyriaus-vadovas
Integration Engineer;Johnson Matthey Global Business Services Lithuania, UAB;Vilnius;€ 3958 – 5416;N/A;20 days ago;2025.05.22;Fostering a culture of continuous learning and collaboration within the team through active knowledge sharing and mentorship., 2+ years of engineering experience with a strong focus on integration., Experience designing and implementing integration solutions in collaboration with business, engineering, and architecture teams., Good stakeholder management skills.;https://www.cvonline.lt/en/vacancy/1359778/johnson-matthey-global-business-services-lithuania-uab/integration-engineer
Mid-Level Full-Stack Developer (React + .NET);UAB „Energus Group“;Vilnius;€ 3306 – 4959;Mid;20 days ago;2025.05.22;"3+ years of experience developing WEB applications using React;, Good knowledge of modern React frameworks and JavaScript/TypeScript;, Solid experience in back-end development using .NET technologies;, Experience working with SQL databases;, Understanding of microservices architecture and design principles;, Knowledge of software design patterns and development best practices;, Strong problem-solving, communication and time management skills;, Experience with communication protocols like Modbus, BACnet, or MQTT;, Knowledge of event-driven architectures;, Experience in C++ and embedded device development., Please note that we are open to discussing different compensation based on your skills and experience.";https://www.cvonline.lt/en/vacancy/1359764/uab-energus-group/mid-level-full-stack-developer-react-net
Vyr. programuotojas (-a) (JAVA);Registrų centras, VĮ;Vilnius;€ 2880 – 4320;N/A;20 days ago;2025.05.22;N/A;https://www.cvonline.lt/en/vacancy/1359767/registr-centras-v/vyr-programuotojas-a-java
Vyr. programuotojas (-a) (.NET technologija);Registrų centras, VĮ;Vilnius;€ 2880 – 4320;N/A;20 days ago;2025.05.22;N/A;https://www.cvonline.lt/en/vacancy/1359762/registr-centras-v/vyr-programuotojas-a-net-technologija
Duomenų inžinierius(-ė)/Data Engineer;Metso Global Business Services, UAB;Šiauliai;€ 2500 – 3200;N/A;20 days ago;2025.05.22;N/A;https://www.cvonline.lt/en/vacancy/1359729/metso-global-business-services-uab/duomen-inzinierius-data-engineer
IT Infrastructure Team Lead;FL Technics;Vilnius / Remote;€ 5000 – 5800;Senior;20 days ago;2025.05.22;"Continuous Improvement: Drive changes and improvements in working methods, skills development, and workforce management;, Collaboration: Work effectively with other teams to implement strategies that enhance profitability, productivity, and overall client experience;, Proven experience in IT infrastructure management and team leadership;, Excellent vendor management skills;, Excellent communication and interpersonal skills;, Strong knowledge of ITSM/ITIL frameworks;, Exclusive experience to the aviation business industry;, Competitive salary range, final offer will be proposed based on your experience and competencies.";https://www.cvonline.lt/en/vacancy/1359671/fl-technics/it-infrastructure-team-lead
AI DEVELOPER;UAB „Energus Group“;Vilnius;€ 3306 – 4959;N/A;20 days ago;2025.05.22;"3+ years of experience in back-end development with .NET, Python or similar technologies;, Hands-on experience working on AI-based projects, including components such as LLMs, NLP pipelines, forecasting models, or intelligent data processing systems;, Experience building and maintaining event-driven microservices architecture;, Knowledge of software design patterns and scalable backend practices;, Strong problem-solving skills and a proactive mindset;";https://www.cvonline.lt/en/vacancy/1359608/uab-energus-group/ai-developer
AI Engineer;EY;Vilnius / Remote;€ 2100 – 4000;N/A;20 days ago;2025.05.22;N/A;https://www.cvonline.lt/en/vacancy/1359572/ey/ai-engineer
.NET developer;Elgama-Elektronika, UAB;Kaunas;€ 2800 – 4000;N/A;20 days ago;2025.05.22;2+ year of experience working with .NET framework Knowledge of OOP, Experience working with SQL, REST API., Experienced and qualified multi-skilled colleagues;https://www.cvonline.lt/en/vacancy/1359439/elgama-elektronika-uab/net-developer
IT sistemų specialistas (-ė);Emplonet, UAB;Vilnius;€ 2454 – 2806;N/A;20 days ago;2025.05.22;N/A;https://www.cvonline.lt/en/vacancy/1359370/emplonet-uab/it-sistem-specialistas
JAVA developer for Roxit team;Visma Tech, UAB;Vilnius / Remote;€ 1600 – 4600;N/A;20 days ago;2025.05.22;You are eager to learn, have strong analytical skills and embrace the Agile principles., You have experience with the following development tools: Java, Spring Boot / Hibernate, Maven, NPM, PostgreSQL., Experience with the following development tools: Docker / Kubernetes, TeamCity, Bitbucket / Nexus repository., We have internal knowledge sharing sessions where we learn the newest trends in programming languages, QA, security, etc., Gross salary 1600 - 4600 EUR. Keep in mind that we are open to discuss your salary based on your competence and experience.;https://www.cvonline.lt/en/vacancy/1359319/visma-tech-uab/java-developer-for-roxit-team
Back-End Software developer (Java);Emplonet, UAB;Kaunas;€ 4600 – 5500;N/A;20 days ago;2025.05.22;At least 3 years experience with JAVA., Experience working with Spring Boot., Experience working with relational databases., Experience working with Kafka (Streams, Tables)., Experience working with Docker., English language skills., Experience working Spring Cloud., Experience working with Elasticsearch., Experience working with Apache Flink or Spark., Experience working with Redis., Experience working with Kubernetes.;https://www.cvonline.lt/en/vacancy/1359313/emplonet-uab/back-end-software-developer-java
E. komercijos asistentė (-as) Utenoje;Telemarketing, UAB;Utena;€ 1800;N/A;24 days ago;2025.05.18;N/A;https://www.cvonline.lt/en/vacancy/1358863/telemarketing-uab/e-komercijos-asistent-as-utenoje
Workday Integration Specialist;InMedica, UAB;Vilnius / Remote;€ 1900 – 4000;N/A;24 days ago;2025.05.15;N/A;https://www.cvonline.lt/en/vacancy/1358840/inmedica-uab/workday-integration-specialist
.NET Software Engineer in Welcoming and Orchestration Tribe;Danske Bank Lithuania;Vilnius;€ 3520 – 5280;N/A;24 days ago;2025.05.16;"Participate in Engineering efforts that help streamline the experience of our product, Experience using C#, ASP.NET, and .NET Core (or similar object-oriented language), Knowledge of container technologies such as Docker, Kubernetes, Good knowledge of SQL and ELK stack, Experience working with Message Broker solutions such as RabbitMQ, Kafka, or IBM MQ, Experience with ELK stack, Hybrid working conditions: Work from home up to two days a week; home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.";https://www.cvonline.lt/en/vacancy/1358829/danske-bank-lithuania/net-software-engineer-in-welcoming-and-orchestration-tribe
Design Team Lead – Vilnius Design Studio;Wix.com, UAB;Vilnius;€ 4500 – 5500;Senior;24 days ago;2025.05.18;Build a strong team by leading end-to-end recruitment processes, and ensuring smooth onboarding experiences, 6+ years of professional web design and brand experience, with a strong portfolio showcasing your ability to lead design projects, Proven experience in leading design teams, mentoring designers and driving design strategy. Leading a team of designers in a global company is an advantage, Excellent verbal and written communication skills in English, with the ability to present and explain design concepts clearly, A deep passion for visual design, user experience and staying ahead of industry trends, Knowledge of coding and significant experience with GenAI practices strong advantages;https://www.cvonline.lt/en/vacancy/1358761/wix-com-uab/design-team-lead-vilnius-design-studio
Chief DevOps Engineer;Danske Bank Lithuania;Vilnius;€ 5600 – 8400;N/A;24 days ago;2025.05.16;"Focus on optimizing the developer experience to facilitate ease of deployment, maintenance and monitoring of the applications on this secure platform, Practical knowledge of CI/CD and the principles of DevOps/DevSecOps, Comprehensive understanding of Security Development Lifecycle (SDLC) methodologies. Technical proficiency in tools such as Kibana, GitHub, OpenShift, ADO (Azure DevOps), and Argo-CD, Experience with .NET C#, ASP.NET, Web APIs, Microservices, Monitoring, and Observability, Advanced English skills, These skills would be considered as advantageous:
Previous experience in the financial industry or other regulated environments
Knowledge of card infrastructure and experience in the cards space
Experience designing and building event-driven architectures on AWS
Familiarity with regulatory and compliance requirements related to digital banking, such as PCIDSS, PSD2, GDPR, etc, Previous experience in the financial industry or other regulated environments, Knowledge of card infrastructure and experience in the cards space, Experience designing and building event-driven architectures on AWS, Hybrid working conditions: Work from home up to two days a week; home office budget (after the probation period); modern Danske Campus workplace developed with anthropologist for the best employee experience.";https://www.cvonline.lt/en/vacancy/1358726/danske-bank-lithuania/chief-devops-engineer
