Title;Company;Location;Salary;Seniority;Published;Expires;Skills
Head of Network Reliability and Optimization;Danske Bank Lithuania;Vilnius;€ 5760 – 8640;Senior;4 days ago;2025.06.09;ai, networking
Java Engineer in Advisory, Org data and Groups;Danske Bank Lithuania;Vilnius;€ 3520 – 5280;N/A;4 days ago;2025.05.28;java, sql, spring, docker, aws, kafka
IT Engineer for MS 365 Productivity | SEB, Vilnius;SEB;Vilnius;€ 2550 – 3400;N/A;7 days ago;2025.06.15;N/A
Quality Assurance Engineer;Luminor Bank, AB;Vilnius;€ 4010 – 6550;N/A;7 days ago;2025.05.23;ci/cd, jenkins
Senior .NET Full-Stack developer;Accenture;Vilnius / Remote;€ 2500 – 4600;Senior;7 days ago;2025.06.08;N/A
Pogrupio vadovas (-ė);Light Conversion, UAB;Vilnius;€ 3100 – 4000;N/A;Renewed 7 days ago;2025.06.01;N/A
IT pagalbos specialistas (-ė);Lidl Lietuva, UAB;Vilnius;€ 2235 – 2590;N/A;7 days ago;2025.06.08;N/A
Senior Systems Engineer - Network Support;Moody's;Vilnius;€ 4200 – 6700;Senior;7 days ago;2025.06.08;ai, networking, tcp/ip
Off-Page SEO Lead;UAB GG Group Media;Vilnius / Remote;€ 3000;Senior;7 days ago;2025.06.07;go
SEO Specialist;UAB GG Group Media;Vilnius / Remote;€ 2400;N/A;7 days ago;2025.06.07;go
Unit Manager for the Omnichannel Unit;Baltic Amadeus, UAB;Vilnius;€ 6000 – 9000;N/A;7 days ago;2025.06.08;N/A
IT pagalbos specialistė (-as);LTG;Kaunas;€ 2030 – 3040;N/A;8 days ago;2025.06.07;N/A
Finansinio audito 2-ojo departamento valstybinis auditorius (-ė) (terminuota darbo sutartis);Lietuvos Respublikos Valstybės Kontrolė;Vilnius;€ 1874 – 2572;N/A;8 days ago;2025.05.22;N/A
Pardavimo vadybininkas (-ė) esamiems ir naujiems klientams (kompiuterinė įranga);Noriu personalo sprendimų grupė;Kaunas;€ 2450 – 4100;N/A;8 days ago;2025.05.22;N/A
Product Owner for Risk Definitions and Events – Risk and Compliance Tribe;Danske Bank Lithuania;Vilnius;€ 5200 – 7800;N/A;8 days ago;2025.05.29;go
Senior QA Specialist in Wealth Planning and Investments Tribe;Danske Bank Lithuania;Vilnius;€ 2960 – 4440;Senior;8 days ago;2025.06.05;java, javascript, go, ai, agile, soap
IT inžinierius (-ė);Lietuvos paštas, AB;Kaunas;€ 1700 – 2100;N/A;8 days ago;2025.06.07;N/A
Python-Javascript programuotojas;Ortho Baltic, UAB;Kaunas / Remote;€ 3000 – 7000;N/A;8 days ago;2025.06.07;N/A
QA Specialist in Wealth Planning and Investments Tribe;Danske Bank Lithuania;Vilnius;€ 2480 – 3720;N/A;8 days ago;2025.06.05;java, javascript, go, ai, agile, soap
Business Analyst in Solutions Development Team;Danske Bank Lithuania;Vilnius;€ 2880 – 4320;N/A;8 days ago;2025.06.05;agile
Social Media Manager;Bcreatives, UAB;Vilnius;€ 3400 – 4400;N/A;9 days ago;2025.05.21;go
IT pardavimų vadybininkas Kaune;Heksimus, UAB;Kaunas;€ 2000 – 2600;N/A;9 days ago;2025.06.06;N/A
Lead Site Reliability Engineer in Digital Processing | SEB, Kaunas;SEB;Kaunas;€ 4350 – 6550;Senior;9 days ago;2025.06.15;N/A
Training Manager;People Link, UAB;Kaunas;€ 4000 – 5000;N/A;9 days ago;2025.06.06;N/A
IT System Administrator;Avia Solutions Group;Vilnius / Remote;€ 3100 – 4200;N/A;9 days ago;2025.06.06;azure, terraform, devops
Helpdesk Team Lead in Lithuania;ASTRAL Executive Search SIA;Vilnius;€ 3300;Senior;9 days ago;2025.06.06;N/A
IT ir kibernetinio saugumo koordinatorius (-ė);People Link, UAB;Vilnius;€ 2500 – 3600;N/A;9 days ago;2025.06.06;N/A
AI Engineer;Iki Lietuva, UAB;Vilnius;€ 2560 – 4500;N/A;9 days ago;2025.06.04;go, sql, ai, ci/cd, git, gitlab
Sistemų administratorius (-ė) (KDV priežiūrai);Registrų centras, VĮ;Vilnius;€ 1789 – 2683;N/A;9 days ago;2025.06.01;N/A
Technical Support Specialist (German);QDev Technologies, UAB;Vilnius / Remote;€ 2200 – 2700;N/A;9 days ago;2025.06.06;go, sql, ai, git
Java Internship;Coherent Solutions, UAB;Vilnius / Remote;€ 1;Junior;10 days ago;2025.06.05;java, go, sql, mysql, postgresql
IT pardavimų vadybininkas (-ė) (B2B);Amston klientas;Vilnius;€ 2800 – 2930;N/A;10 days ago;2025.06.05;N/A
Dėstytojas;Klaipėdos valstybinė kolegija;Klaipėda;€ 2160 – 2588;N/A;10 days ago;2025.06.05;N/A
Dėstytojas;Klaipėdos valstybinė kolegija;Klaipėda;€ 2160 – 2588;N/A;10 days ago;2025.06.05;N/A
JUNIOR GIS SPECIALIST (F/M/D) I IGNITIS RENEWABLES;Ignitis Group;Vilnius;€ 1580 – 2371;Junior;10 days ago;2025.06.05;python, ai
Senior Systems Engineer - Storage and Backup;Moody's;Vilnius;€ 4200 – 6700;Senior;10 days ago;2025.06.05;azure, devops, git, github, tcp/ip, dns
Senior Cloud DevOps Engineer in Finance Tribe;Danske Bank Lithuania;Vilnius;€ 4560 – 6840;Senior;10 days ago;2025.05.27;python, go, aws, azure, terraform, devops, ci/cd, git, github
Duomenų inžinierius (-ė) Duomenų valdymo departamente;AB Artea bankas;Vilnius / Remote;€ 3220 – 4830;N/A;10 days ago;2025.06.03;N/A
UX/UI Designer (Maternity cover);Danske Bank Lithuania;Vilnius;€ 2960 – 4440;N/A;10 days ago;2025.06.03;git, agile
Software Engineer;GetJet Airlines, UAB;Vilnius;€ 2500 – 5000;N/A;10 days ago;2025.06.05;N/A
Veiklos analitikas (-ė) (Juridinių asmenų registras);Registrų centras, VĮ;Vilnius;€ 2175 – 3263;N/A;10 days ago;2025.06.05;N/A
Mid/Senior QA Engineer for Progress OpenEdge Unit;Baltic Amadeus, UAB;Vilnius / Remote;€ 2500 – 3800;Senior;10 days ago;2025.06.05;N/A
Senior Solution Architect for the Universal Capabilities Squad, Workflow Enablement;Danske Bank Lithuania;Vilnius;€ 5600 – 8400;Senior;10 days ago;2025.06.03;java, ai
Projektų koordinatorius (-ė) (teisiniai klausimai);AUGA;Vilnius;€ 2500 – 3000;N/A;11 days ago;2025.05.18;N/A
CityBee .NET Back-End Developer (Vilnius or Kaunas);Modus Mobility;Vilnius;€ 4100;N/A;11 days ago;2025.06.04;N/A
Duomenų analitikė (-as);EPSO-G įmonių grupė;Vilnius;€ 2700 – 3500;N/A;11 days ago;2025.06.04;N/A
Mid Level C++ Software Engineer;Emplonet, UAB;Vilnius;€ 3800 – 5000;Mid;11 days ago;2025.06.04;N/A
System (Azure) Administrator;Emplonet, UAB;Kaunas;€ 4132.24 – 4462.8;N/A;11 days ago;2025.06.04;docker, kubernetes, azure, ai, devops, networking
IS specialistas (-ė);Emplonet, UAB;Vilnius;€ 2900 – 3100;N/A;11 days ago;2025.06.04;N/A
Produkto vadovas (-ė);Emplonet, UAB;Vilnius;€ 3800 – 4000;N/A;11 days ago;2025.06.04;N/A
Vyr. IS administratorius (-ė);Emplonet, UAB;Vilnius;€ 3300 – 4500;N/A;11 days ago;2025.06.04;N/A
Vyr. ekspertas (-ė) (Dirbtinis intelektas - Teisės sritis);Inovacijų agentūra, VšĮ;Vilnius;€ 2800 – 3500;N/A;11 days ago;2025.06.04;N/A
Software Quality Engineer;Viltechmeda, UAB;Vilnius;€ 3000 – 3700;N/A;11 days ago;2025.06.04;python, c#, c++, go, ai
