Title;Company;Location;Salary
ŽMONIŲ DUOMENŲ ANALITIKĖ (-AS) (TERMINUOTA DARBO SUTARTIS);Ignitis Group;Vilnius;€ 2666 – 3999
Senior Software Engineer (Gen AI);Moody's;Vilnius;€ 5200 – 8300
Data Analyst;Kilo Health - UAB Kilo grupė;Vilnius;€ 3000 – 4000
Duomenų analitikas (-ė);Valstybinė mokesčių inspekcija prie Lietuvos Respublikos finansų ministerijos;Vilnius / Remote;€ 2200 – 2800
Veiklos/duomenų analitikas (-ė);Valstybinė mokesčių inspekcija prie Lietuvos Respublikos finansų ministerijos;Vilnius / Remote;€ 2200 – 2800
Veiklos/duomenų analitikas (-ė);Valstybinė mokesčių inspekcija prie Lietuvos Respublikos finansų ministerijos;Vilnius / Remote;€ 2200 – 2800
Full-Stack Java Developer;Indigroup;Vilnius / Remote;€ 3500 – 5900
Senior PHP Developer;Indigroup;Vilnius;€ 5000 – 6000
IT sistemų analitikas (-ė);City Service, UAB;Vilnius;€ 1800 – 3300
DI sprendimų architektas (-ė);City Service, UAB;Vilnius / Remote;€ 5000 – 7500
DI inžinierius (-ė) – prisijunk prie mūsų komandos ir kurk inovacijas!;Mano būstas, UAB;Vilnius;€ 4000 – 5500
Product Security Specialist;Quadigi, UAB;Vilnius / Remote;€ 3800 – 5600
Full-Stack Developer Internship;Present Connection, UAB;Kaunas / Remote;€ 1
Workflow Solution Developer in Digital Processing | SEB, Vilnius;SEB;Vilnius;€ 2850 – 4250
QA Engineer;NRD Companies;Vilnius / Remote;€ 2200 – 3700
.NET programuotojas;NRD Companies;Vilnius / Remote;€ 4000 – 5400
IT specialistas (-ė);Allianz Lietuva gyvybės draudimas UAB;Vilnius;€ 1700 – 2400
Projekto vadovas (-ė) Duomenų platformų skyriuje;Lietuvos bankas;Vilnius;€ 4016 – 6024
Senior Front-End Engineer;Kilo Health - UAB Kilo grupė;Vilnius;€ 5520 – 6000
Front-End Engineer;Kilo Health - UAB Kilo grupė;Vilnius;€ 3120 – 4030
PHP programuotoja (-as);Blue Bridge grupė;Vilnius / Remote;€ 3000 – 4800
Junior Android Developer in the Omnichannel Unit;Baltic Amadeus, UAB;Kaunas;€ 1100 – 2900
Cyber Security Consultant;EY;Vilnius;€ 2000 – 2700
Full Stack Engineer;People Link, UAB;Vilnius;€ 4400 – 4900
IT skaitmenizacijos vadovas (-ė);Newsec Property Management LT, UAB;Vilnius;€ 4960 – 5785
Java developer ready to develop the digital services of tomorrow | SEB, Vilnius;SEB;Vilnius;€ 3650 – 5450
Senior Service (Systems) Owner;QDev Technologies, UAB;Vilnius / Remote;€ 3500 – 4500
AI Backend Engineer;CV-Online klientas;Kaunas;€ 3200 – 4200
Inžinierius - programuotojas;TSPI, UAB;Kaunas;€ 3636.36 – 4958.69
AI Front-End Engineer;CV-Online klientas;Kaunas;€ 3000 – 4000
Chief Technology Officer (CTO);Eleving Group;Vilnius;€ 6000 – 10000
IT Systems Administrator;Avion Express;Vilnius;€ 3500 – 4100
Tinklo inžinierius (-ė);Kauno technologijos universitetas;Kaunas;€ 2600 – 2925
Sistemos ekspertė (-as);LTG;Vilnius;€ 2485 – 3725
Pardavimo vadybininkas (-ė) esamiems ir naujiems klientams (kompiuterinė įranga);Noriu personalo sprendimų grupė;Kaunas;€ 2450 – 4100
Business Analyst - Problem Management;Moody's;Vilnius;€ 3500 – 5600
Business and Functional Specialist in Advisory Overview Squad;Danske Bank Lithuania;Vilnius;€ 2880 – 4320
PERFORMANCE DATA ANALYST (F/M/D) | IGNITIS RENEWABLES;Ignitis Group;Vilnius;€ 2401 – 3602
Dirbtinio intelekto diegimo vadovas (-ė);People Link, UAB;Vilnius;€ 5500 – 7400
Control Software Developer;Emplonet, UAB;Kaunas;€ 2500 – 5500
Experienced Frontend Engineer - Wix Forms;Wix.com, UAB;Vilnius;€ 3000 – 8000
Dirbtinio Intelekto Inžinierius (-ė);People Link, UAB;Vilnius;€ 4000 – 5500
HR|Payroll sprendimų diegėjas (-as) - konsultantas (-ė);OIXIO, UAB;Vilnius / Remote;€ 3000 – 3700
Senior Backend Engineer, Devex Platform;Wix.com, UAB;Vilnius;€ 5000 – 8000
Brand and Web Designer - Design Hub Vilnius;Wix.com, UAB;Vilnius;€ 3000 – 5500
Frontend Engineer - Wix Emails;Wix.com, UAB;Vilnius;€ 5000 – 8000
Network Engineer;Wix.com, UAB;Vilnius;€ 5500 – 8000
ERP Analyst/Consultant;Honestus, UAB;Vilnius / Remote;€ 4300
Priežiūros specialistas (-ė);ADB „Gjensidige“;Vilnius;€ 1781 – 2671
