Title,Company,Location,Salary,min_salary,max_salary,avg_salary,salary_range,job_category,seniority
Ekskavatoriaus operatorius,Žiuko įmonė,Molėtai,From 1600,1600.0,,1600.0,0.0,Manufacturing & Production,Other
Mobiliųjų telefonų - kompiuterių specialistas,UAB „ELITELA“,Ukmergė,900-1500,900.0,1500.0,1200.0,600.0,Mobile Development,Mid
ŠALTKALVIS,UAB „Electronic House“,Vilnius,1100,1100.0,,1100.0,0.0,Other,Other
Gamybos darbuotojas (-a),UAB „ULMAS“,Kaunas,From 900,900.0,,900.0,0.0,Manufacturing & Production,Other
Prisijunk prie fantastiškos INTERACTIVE studios žaidimų vedėjų komandos Klaipėdoje!,UAB „SP STUDIO“,Klaipėda,6.36-24.81,1017.6,3969.6,2493.6,18.45,Mobile Development,Other
Ekonomistas (-ė),UAB „Schmitz Cargobull Baltic“,Panevėžys,1400-1600,1400.0,1600.0,1500.0,200.0,Finance & Accounting,Other
AB „Liteksas“ vyresnysis technikas (-ė),„Marzotto įmonių grupė“,Kaunas,1600-2300,1600.0,2300.0,1950.0,700.0,Engineering,Senior
Elektromontuotojas (-a) TP/SP,"Žilinskis ir Co, UAB",Vilnius,1300-1600,1300.0,1600.0,1450.0,300.0,Other,Other
Mechanikos technikas (-ė),UAB „FREDA“,Kaunas,2400-3200,2400.0,3200.0,2800.0,800.0,Engineering,Other
Kokybės Inžinierius (-ė) (autoelektrikas),UAB „Schmitz Cargobull Baltic“,Panevėžys,1700-2000,1700.0,2000.0,1850.0,300.0,QA & Testing,Other
PREKIŲ KOMPLEKTUOTOJAS (-A),UAB „Electronic House“,Vilnius,1200-1600,1200.0,1600.0,1400.0,400.0,Other,Other
Radiologijos technologas (-ė) (Santariškių padalinys),InMedica grupė,Vilnius,2806-3966,2806.0,3966.0,3386.0,1160.0,Manufacturing & Production,Other
Apskaitininkas (-ė) - buhalteris (-ė),UAB „Baltic Diagnostic Service“,Kaunas,1000-1200,1000.0,1200.0,1100.0,200.0,Finance & Accounting,Other
ŠVIEŽIOS ŽUVIES SKYRIAUS PARDAVĖJAS (-A),UAB „Šiaurės jūra“,Vilnius,From 1000,1000.0,,1000.0,0.0,Mobile Development,Other
Suvirintojas,UAB „LAIPTŲ FABRIKAS“,Vilnius,1300-1700,1300.0,1700.0,1500.0,400.0,Other,Other
Dažytojas baldų įmonėje,UAB „FPI Baltic“,Kaunas,1200-1400,1200.0,1400.0,1300.0,200.0,Other,Other
Mobiliųjų telefonų - kompiuterių specialistas,UAB „ELITELA“,Vilnius,1100-1700,1100.0,1700.0,1400.0,600.0,Mobile Development,Mid
