Title;Company;Location;Salary
Dažytojas baldų įmonėje;UAB „FPI Baltic“;Kaunas;1200-1400
Mobiliųjų telefonų - kompiuterių specialistas;UAB „ELITELA“;Vilnius;1100-1700
Rūšiuotoja (-as) (Vežame į darbą);UAB „Bauwerk Group Lietuva“;Elektrėnai;1680-2100
Ophtalmologist;VPSO CONSEIL;France;10000-20000
Junior Recruiter;Orca Crew Services B.V. Lietuvos filialas;Klaipėda;1550-2150
Virėjas (-a) - Kulinarijos cecho darbuotojas (-a) (Žuvų produkcija);AB „Išlaužo žuvis“;Prienai;1000-1500
Automatikų komandos lyderis (-ė);UAB „FREDA“;Kaunas;3500-4500
TRANSPORTO VADYBININKUI (-EI) 🌎;UAB „MTL Group“;Vilnius;1000-2000
Pakuotojas (-a) Vokietijoje (Tinkamas Poroms);MB „Worknos“;Germany;1900-2600
SERVISO DARBUOTOJO;UAB „Felder Group Lietuva“;Vilnius;1000-1600
TECHNINIS KONSULTANTAS - PARDAVIMO VADYBININKAS;UAB „Felder Group Lietuva“;Vilnius;1000-1800
Operatorius - technikas;UAB „Mondelez Lietuva Production“;Kaunas;2500
Grožio konsultantė (-as) - Dior prekės ženklo ambasadorė (-ius) Vilniaus oro uoste;UAB „General Promotion Baltic“;Vilnius;1915
Plataus profilio statybininko - Staliaus, Švedijoje!!!;MB „Litukas“;Sweden;From 14
Transporto užsakymų vadybininkas (-ė);DS Smith Packaging;Vilnius;1870-2185
Žaliavų sandėlininkas (-ė) (LEZ);UAB FREDA II;Kaunas;2300-2500
STATYBOS DARBŲ VADOVAS (-Ė);UAB „Projektana“;Kaunas;1500-3000
Betonuotojas;UAB „Projektana“;Kaunas;1300-2300
Mechanizatorius;UAB „Projektana“;Kaunas;1400-2600
Gamybos vadovas (-ė);UAB HI-LABS;Kaunas;1500-2500
Derintojas - operatorius;AB „Pieno žvaigždės“;Panevėžys;1900-2010
TIESIOGINIŲ ŽAIDIMŲ VEDĖJAS (-A) (APMOKOME);UAB „TV ŽAIDIMAI“;Vilnius;900-1600
Jaunesnysis (-ioji) projektų vadovas (-ė) (Mažmeninė prekyba);UAB „Premiumstore“;Kaunas;2200-2700
Buhalteris (-ė);myTU (UAB „Travel Union“ );Vilnius;2500-3000
Recruiter;UAB „Nordcurrent Group“;Vilnius;3000-4000
Inžinierius automatikas (-ė);UAB FREDA II;Kaunas;2000-3200
Pagalbinis (-ė) darbuotojas (-a) - padangų montuotojas (-a). PATIRTIS NEBŪTINA!;UAB „MELGA“;Vilnius;800-1300
Autoplovėjas - valytojas;MB „Valymo technologijos“;Kaunas;1000
