Title,Company,Location,Salary,Seniority,min_salary,max_salary,avg_salary,salary_range,job_category,seniority
Data Analyst for Risk & Procurement team,"Visma Tech, UAB",Vilnius / Remote,€ 2800 – 5000,Unspecified,2800.0,5000.0,3900.0,2200.0,Data Analyst,Not Specified
Outperformer - Global Management Program: Finance Track,"HILTI COMPLETE SYSTEMS, UAB",Vilnius / Remote,€ 2700 – 3300,Unspecified,2700.0,3300.0,3000.0,600.0,Other,Not Specified
Engineering Leadership Development Program for Graduates,"HILTI COMPLETE SYSTEMS, UAB",Vilnius / Remote,€ 2700 – 3300,Senior,2700.0,3300.0,3000.0,600.0,Other,Junior
Outperformer - Global Management Program: Business Track,"HILTI COMPLETE SYSTEMS, UAB",Vilnius / Remote,€ 2700 – 3300,Unspecified,2700.0,3300.0,3000.0,600.0,Other,Not Specified
Junior Data Management Consultant,EY,Vilnius / Remote,€ 2000 – 2700,Junior,2000.0,2700.0,2350.0,700.0,Data Engineer,Junior
Verslo aplikacijų ekspertė (-as),LTG,Vilnius,€ 2980 – 4470,Unspecified,2980.0,4470.0,3725.0,1490.0,Mobile Developer,Senior
Fullstack Developer,Accenture,Vilnius,€ 2600 – 3425,Unspecified,2600.0,3425.0,3012.5,825.0,Full-stack Developer,Not Specified
IT sprendimų vadovė (-as),"Regitra, AB",Vilnius,€ 2350 – 3000,Unspecified,2350.0,3000.0,2675.0,650.0,Project Manager/Product Owner,Not Specified
Vyr. Duomenų mokslininkas (-ė),"Registrų centras, VĮ",Vilnius / Remote,€ 3520 – 5280,Unspecified,3520.0,5280.0,4400.0,1760.0,Data Scientist,Senior
"Senior Engineer in Internal Identity and Access Management | SEB, Vilnius",SEB,Vilnius,€ 3000 – 4500,Senior,3000.0,4500.0,3750.0,1500.0,Other,Junior
Software Developer,"Nasdaq Vilnius Services, UAB",Vilnius,€ 3700 – 4200,Unspecified,3700.0,4200.0,3950.0,500.0,Software Developer,Not Specified
QA Test Analyst,"Nasdaq Vilnius Services, UAB",Vilnius,€ 3500 – 4000,Unspecified,3500.0,4000.0,3750.0,500.0,QA Engineer,Not Specified
Junior Software Developer,"Nasdaq Vilnius Services, UAB",Vilnius,€ 2500 – 3500,Junior,2500.0,3500.0,3000.0,1000.0,Software Developer,Junior
Klientų aptarnavimo specialistas (-ė),"OPTAS IT, UAB",Kaunas,€ 1500 – 2000,Unspecified,1500.0,2000.0,1750.0,500.0,IT Support,Not Specified
Vyr. Programuotojas (-a),"BnP Finance, UAB",Vilnius,€ 4000 – 5000,Unspecified,4000.0,5000.0,4500.0,1000.0,Software Developer,Senior
Test Automation Lead,Accenture,Vilnius / Remote,€ 3900 – 6815,Senior,3900.0,6815.0,5357.5,2915.0,QA Engineer,Senior
Senior Test Automation Engineer,Accenture,Vilnius / Remote,€ 3175 – 5340,Senior,3175.0,5340.0,4257.5,2165.0,QA Engineer,Senior
.NET Technical Lead,"Baltic Amadeus, UAB",Vilnius / Remote,€ 4600 – 7100,Senior,4600.0,7100.0,5850.0,2500.0,.NET Developer,Senior
