Title,Company,Location,Salary,min_salary,max_salary,avg_salary,salary_range,job_category,seniority
Mid Level C++ Software Engineer,"Emplonet, UAB",Vilnius,€ 3800 – 5000,3800.0,5000.0,4400.0,1200.0,Embedded Developer,Mid
System (Azure) Administrator,"Emplonet, UAB",Kaunas,€ 4132.24 – 4462.8,4132.24,4462.8,4297.52,330.5600000000004,DevOps,Not Specified
IS specialistas (-ė),"Emplonet, UAB",Vilnius,€ 2900 – 3100,2900.0,3100.0,3000.0,200.0,System Administrator/Architect,Not Specified
Produkto vadovas (-ė),"Emplonet, UAB",Vilnius,€ 3800 – 4000,3800.0,4000.0,3900.0,200.0,Project Manager/Product Owner,Not Specified
Vyr. IS administratorius (-ė),"Emplonet, UAB",Vilnius,€ 3300 – 4500,3300.0,4500.0,3900.0,1200.0,IT Support,Senior
Vyr. ekspertas (-ė) (Dirbtinis intelektas - Teisės sritis),"Inovacijų agentūra, VšĮ",Vilnius,€ 2800 – 3500,2800.0,3500.0,3150.0,700.0,Data Scientist,Senior
Software Quality Engineer,"Viltechmeda, UAB",Vilnius,€ 3000 – 3700,3000.0,3700.0,3350.0,700.0,QA Engineer,Not Specified
Senior JAVA Developer for Pathway team,"Visma Tech, UAB",Vilnius / Remote,€ 3600 – 6300,3600.0,6300.0,4950.0,2700.0,Java Developer,Senior
SAP Financial accounting/Controlling functional analyst,Accenture,Vilnius,€ 3800 – 5200,3800.0,5200.0,4500.0,1400.0,Other,Not Specified
SAP EWM Functional analyst,Accenture,Vilnius,€ 3800 – 5200,3800.0,5200.0,4500.0,1400.0,Other,Not Specified
Change and Training Manager,"People Link, UAB",Kaunas,€ 4000 – 5000,4000.0,5000.0,4500.0,1000.0,Other,Not Specified
Techninės kontrolės inžinierius (-ė),"Iremas, UAB",Jonava,€ 1600 – 3000,1600.0,3000.0,2300.0,1400.0,Other,Not Specified
Komercijos vadybininkas (-ė),"Iremas, UAB",Jonava,€ 1700 – 3000,1700.0,3000.0,2350.0,1300.0,Business Analyst,Not Specified
IT Platform Engineer for MLOps (Machine Learning) Area,Danske Bank Lithuania,Vilnius,€ 3280 – 4920,3280.0,4920.0,4100.0,1640.0,Data Scientist,Not Specified
Power Platform Developer,Avia Solutions Group,Vilnius / Remote,€ 2500 – 4950,2500.0,4950.0,3725.0,2450.0,Software Developer,Not Specified
Duomenų analitinių produktų grupės vadovas (-ė),"Registrų centras, VĮ",Vilnius,€ 3161 – 4741,3161.0,4741.0,3951.0,1580.0,Data Analyst,Not Specified
Pogrupio vadovas (-ė),"Light Conversion, UAB",Vilnius,€ 3100 – 4000,3100.0,4000.0,3550.0,900.0,Other,Not Specified
IT Project Manager,"People Link, UAB",Kaunas,€ 4000 – 5000,4000.0,5000.0,4500.0,1000.0,Project Manager/Product Owner,Not Specified
Kibernetinių incidentų tyrimo analitikė (-as),LTG,Vilnius,€ 3230 – 4840,3230.0,4840.0,4035.0,1610.0,Other,Not Specified
SAP HR specialistas (-ė),"Lidl Lietuva, UAB",Vilnius,€ 2245 – 2605,2245.0,2605.0,2425.0,360.0,Other,Not Specified
Informacinių technologijų sistemų administratorius (-ė),Lietuvos Respublikos valstybinis patentų biuras,Vilnius / Remote,€ 1807 – 2718,1807.0,2718.0,2262.5,911.0,IT Support,Not Specified
Senior Salesforce Developer,Accenture,Vilnius,€ 3600 – 5500,3600.0,5500.0,4550.0,1900.0,Software Developer,Senior
"Senior Finacial Data Engineer | SEB, Vilnius",SEB,Vilnius,€ 3650 – 5450,3650.0,5450.0,4550.0,1800.0,Data Engineer,Senior
