Title,Company,Location,Salary,min_salary,max_salary,avg_salary,salary_range,job_category,seniority
"Senior Dynamics 365 and Power Platform Solution Developer | SEB, Vilnius",SEB,Vilnius,€ 4350 – 6300,4350.0,6300.0,5325.0,1950.0,Software Developer,Senior
.NET Software Engineer in Customer Engagement Individuals,Danske Bank Lithuania,Vilnius,€ 3520 – 5280,3520.0,5280.0,4400.0,1760.0,.NET Developer,Not Specified
Data Engineer in Finance Tribe,Danske Bank Lithuania,Vilnius,€ 3520 – 5280,3520.0,5280.0,4400.0,1760.0,Data Engineer,Not Specified
Business System Support Analyst (+Danish language bonus allowance),Danske Bank Lithuania,Vilnius,€ 1480 – 2220,1480.0,2220.0,1850.0,740.0,IT Support,Not Specified
POWER PLATFORM DEVELOPER (F/M/D),Ignitis Group,Vilnius,€ 3121 – 4683,3121.0,4683.0,3902.0,1562.0,Software Developer,Not Specified
"Full Stack Developer in Credit & Capital tribe | SEB, Vilnius",SEB,Vilnius,€ 3650 – 5450,3650.0,5450.0,4550.0,1800.0,Full-stack Developer,Not Specified
Senior Software Engineer (Mainframe) in Credit Journey Tribe,Danske Bank Lithuania,Vilnius,€ 4640 – 6960,4640.0,6960.0,5800.0,2320.0,Software Developer,Senior
DevOps Engineer for Journey Automation Team,Danske Bank Lithuania,Vilnius,€ 4640 – 6960,4640.0,6960.0,5800.0,2320.0,DevOps,Not Specified
Senior SAS Platform Engineer,Danske Bank Lithuania,Vilnius,€ 4160 – 6240,4160.0,6240.0,5200.0,2080.0,DevOps,Senior
IT LICENSE ADMINISTRATOR (F/M/D),Ignitis Group,Vilnius,€ 2379 – 3568,2379.0,3568.0,2973.5,1189.0,IT Support,Not Specified
Senior Business Analyst in End User Services – GenAI services,Danske Bank Lithuania,Vilnius,€ 3600 – 5400,3600.0,5400.0,4500.0,1800.0,Business Analyst,Senior
DATA ENGINEER (F/M/D),Ignitis Group,Vilnius,€ 3121 – 4683,3121.0,4683.0,3902.0,1562.0,Data Engineer,Not Specified
DATA ENGINEER (F/M/D),Ignitis Group,Vilnius,€ 3121 – 4683,3121.0,4683.0,3902.0,1562.0,Data Engineer,Not Specified
IT Software Architect,Danske Bank Lithuania,Vilnius,€ 5040 – 7560,5040.0,7560.0,6300.0,2520.0,Other,Not Specified
Senior Java Engineer for Market Data Squad,Danske Bank Lithuania,Vilnius,€ 4560 – 6840,4560.0,6840.0,5700.0,2280.0,Java Developer,Senior
Data Engineering Chapter Lead in Everyday Banking Individuals Tribe,Danske Bank Lithuania,Vilnius,€ 5200 – 7800,5200.0,7800.0,6500.0,2600.0,Data Engineer,Senior
Senior Data Engineer in Everyday Banking Individuals Tribe,Danske Bank Lithuania,Vilnius,€ 4560 – 6840,4560.0,6840.0,5700.0,2280.0,Data Engineer,Senior
"Senior Cloud Data Engineer in HR IT, Corporate Functions | SEB, Vilnius",SEB,Vilnius,€ 3650 – 5450,3650.0,5450.0,4550.0,1800.0,Data Engineer,Senior
".NET Full-Stack Developer in Leasing team | SEB, Vilnius",SEB,Vilnius,€ 2850 – 5450,2850.0,5450.0,4150.0,2600.0,.NET Developer,Not Specified
