Title;Company;Location;Salary;Seniority;Published
Inžinierius - programuotojas;UAB „TSPI“;Kaunas;2400-3000;N/A;9 days ago
Tech Architect;ERGO;Vilnius;4500-5500;N/A;9 days ago
TINKLO ADMINISTRATORIUS (-Ė) (Galimybė reikšmingai prisidėti prie Lietuvos saugumo);PERSONALO AKADEMIJA;Vilnius;1700-2200;N/A;9 days ago
Junior Systems Engineer;UAB „Airhub Aviation“;Vilnius;1500-2300;Junior;9 days ago
Information Security Officer;Bankera;Vilnius;2500-4499;N/A;9 days ago
Information Security Officer;Bankera;Kaunas;2500-4500;N/A;9 days ago
Technical Operations Specialist;Bankera;Kaunas;1100-3000;N/A;9 days ago
PROGRAMINIŲ SISTEMŲ TESTUOTOJAS (-A);UAB „People Link“;Vilnius;2000-3000;N/A;9 days ago
SALESFORCE ADMINISTRATOR;UAB Emplonet;Vilnius;2500-3500;N/A;9 days ago
International Work Permit Coordinator;Sindeed Consortium LLC, MB;Vilnius;1000-2000;Junior;N/A
Lead Cloud Engineer;UAB „NFQ Technologies“;Vilnius;4920-7380;Senior;9 days ago
Depozitoriumo specialistas (-ė)/Analitikas (-ė) Depozitoriumo paslaugų grupėje | SEB, Vilnius;SEB;Vilnius;1750-3250;N/A;10 days ago
IT KLIENTŲ APTARNAVIMO SPECIALISTAS (-Ė);UAB „Duomenų logistikos centras“;Vilnius;1300-2300;N/A;10 days ago
Head of Payments;UAB „Medical Score“;Vilnius;3000-4500;Senior;10 days ago
SALESFORCE DEVELOPER;UAB Emplonet;Vilnius;3500-4500;N/A;10 days ago
AI ENGINEER;UAB Emplonet;Kaunas;5800-7500;N/A;10 days ago
Software Systems Developer;UAB Omega 365 Lithuania;Klaipėda;From 2400;N/A;10 days ago
Senior Data Analyst;Avion Express;Vilnius;3636-4462;Senior;10 days ago
Pensijų ir draudimo vadybininkas (-ė) Nuotolinio konsultavimo skyrius| SEB, Šiauliai;SEB;Šiauliai;1750-3250;N/A;10 days ago
Mokėjimų paslaugų specialistas(-ė)| SEB, Vilnius;SEB;Vilnius;1600-2350;N/A;10 days ago
Product Specialist;UAB „DPD Lietuva“;Vilnius;2900-3300;N/A;10 days ago
IT SISTEMŲ PLĖTROS VADOVĖ (-AS);Ignitis grupė;Vilnius;3066-4599;N/A;N/A
