Title;Company;Location;Salary;Seniority;Published;Skills
Retrospektyvinės stebėsenos skyriaus AML specialistas (-ė);AB Artea bankas;Kaunas;1600-2400;N/A;2 days ago;go, ai
Retrospektyvinės stebėsenos skyriaus AML specialistas (-ė);AB Artea bankas;Vilnius;1670-2500;N/A;2 days ago;go, ai
Duomenų tinklų inžinierė (-ius) - konsultantė (-as);„Blue Bridge“ grupė;Vilnius;2000-3500;N/A;7 days left;ai
Senior RPA developer;UAB „Cognizant Technology Solutions Lithuania“;Vilnius;4050-5130;Senior;2 days ago;python, go, sql, nosql, express, machine learning, ai, data science, git, agile, scrum, soap
System Developer (RPA);UAB „Cognizant Technology Solutions Lithuania“;Vilnius;3500-4420;N/A;2 days ago;python, java, c++, ruby, go, sql, nosql, express, machine learning, ai, data science, git, agile, scrum, soap
.NET Intern;EPAM sistemos, UAB;Vilnius;N/A;Junior;3 days ago;java, javascript, c#, go, sql, html, css, angular, aws, azure, ai, git
IT system analyst (DWH);UAB „OLYMPIC CASINO GROUP BALTIJA“;Vilnius;4000-4699;N/A;3 days ago;go, sql, ai
Programinės įrangos konsultantas (-ė);Edrana Baltic, UAB;Vilnius;1300-1600;N/A;3 days ago;go, ai
.NET Trainee;EPAM sistemos, UAB;Vilnius;N/A;Junior;3 days ago;java, javascript, c#, go, sql, html, css, ai
VYR. GIS inžinierius (-ė);UAB „Vilniaus apšvietimas“;Vilnius;2600-2800;N/A;3 days ago;python, sql, ai
Data Governance and Architecture Lead;UAB „DPD Lietuva“;Vilnius;5000-7000;Senior;3 days ago;go, sql, nosql, ai
Jaunesnysis SDL1 IT Inžinierius (-ė);ATEA grupė;Vilnius;1100-1400;N/A;3 days ago;go, ai
Veiklos analitikas (-ė) (E. varžytynių ir aukcionų portalas);Registrų Centras, VĮ;Vilnius;2175-3263;N/A;3 days ago;go, ai
Junior Data Management Consultant;EY;Vilnius;2000-2700;Junior;3 days ago;go, less, ai, git
Senior Functional Test Engineer;UAB „Continental Automotive Lithuania“;Kaunas;3100-3800;Senior;3 days ago;c#, c++, go, ai, networking
JUNIOR / MID-LEVEL BACKEND PHP PROGRAMUOTOJAS (-A);UAB „Infotransport“;Vilnius;1500-2000;Junior;3 days ago;php, sql, mysql, html, css, docker, ai, agile
Senior AML Investigations Analyst (Crypto);UAB „Guidehouse Lithuania“;Vilnius;2000-2600;Senior;3 days ago;express, ai
VYR. PHP PROGRAMUOTOJAS (-A);UAB „BnP Finance“;Vilnius;2500-3000;N/A;3 days ago;java, php, go, sql, mysql, react, ai, git, agile, scrum, soap
Service Delivery Manager (IT Network company);UAB „People Link“;Vilnius;3500-5000;N/A;3 days ago;go, ai, cybersecurity
SENIOR JAVA DEVELOPER;UAB Emplonet;Vilnius;3800-5200;Senior;3 days ago;java, go, sql, react, spring, docker, kubernetes, soap
IT projektų vadovas (-ė);Creative Partner, UAB;Klaipėda;3200;N/A;3 days ago;ai, agile, kanban
IT projektų vadovė (-as) - Informacinių technologijų ir telekomunikacijų centras;EPSO-G grupė;Vilnius;4000-5000;N/A;4 days ago;go, ai, agile
Senior Software Engineer (PHP);UAB „NFQ Technologies“;Vilnius;4500-7500;Senior;4 days ago;php, go, sql, mysql, redis, docker, kubernetes, ai, data science
IT TESTUOTOJA (-AS);Ignitis grupė;Vilnius;N/A;N/A;5 days ago;java, go, ai, soap
Engineering Manager;UAB „Kesko Senukai Digital“;Vilnius;6000-6942;N/A;5 days ago;go, ai, ci/cd, git, agile
Junior Database Engineer;UAB „Adform Lithuania“;Vilnius;2300-2700;Junior;5 days ago;go, sql, postgresql, mongodb, redis, ai, devops, linux, big data, hadoop, kafka
IT inžinierius (-ė);UAB „Novian Technologies“;Vilnius;1576-1872;N/A;5 days ago;go, ai
Manual Quality Assurance Engineer;UAB „People Link“;Kaunas;2000-4000;N/A;5 days ago;python, ai, networking
Automated Quality Assurance Engineer;UAB „People Link“;Kaunas;2500-5000;N/A;5 days ago;python, go, ai, git, linux
DI inžinierius (-ė) – prisijunk prie mūsų komandos ir kurk inovacijas!;CITY SERVICE įmonių grupė;Vilnius;4000-5500;N/A;5 days ago;python, java, go, azure, ai
